Category,Product Name,Description,Price,Tags,Use Cases,Benefits,Image Hints
Electronics,Wireless Bluetooth Headphones,Premium over-ear headphones with active noise cancellation and 30-hour battery life.,$149.99,"bluetooth, audio, wireless, noise-canceling","Travel, commuting, work-from-home, music listening","Enhanced audio quality, wireless freedom, long battery life, comfortable fit",black headphones with cushioned ear cups
Electronics,4K Smart TV 55-inch,Ultra HD smart television with HDR support and built-in streaming apps.,$599.99,"television, 4K, smart-TV, entertainment","Home entertainment, movie watching, gaming, streaming","Crystal-clear picture, smart features, multiple HDMI ports, energy efficient",large flat-screen TV mounted on wall
Electronics,Laptop Stand Aluminum,Ergonomic adjustable laptop stand with cooling ventilation design.,$39.99,"desk-accessory, ergonomic, aluminum, laptop","Office setup, remote work, posture improvement","Better posture, improved airflow, sleek design, portable",silver metallic laptop stand on desk
Electronics,Wireless Charging Pad,Fast wireless charging station compatible with all Qi-enabled devices.,$29.99,"charging, wireless, phone-accessory, Qi","Desk charging, bedside charging, office use","Cable-free convenience, fast charging, universal compatibility",circular black charging pad with phone
Electronics,Portable Power Bank 20000mAh,High-capacity portable charger with dual USB ports and LED display.,$49.99,"battery, portable, charging, travel","Travel, emergency backup, outdoor activities, daily commute","Multiple charges, fast charging, LED indicator, compact design",sleek black power bank with digital display
Large Appliances,French Door Refrigerator,Energy-efficient 25 cu ft refrigerator with ice maker and water dispenser.,"$1,899.99","refrigerator, kitchen, energy-star, appliance","Food storage, daily kitchen use, family households","Large capacity, energy savings, fresh food preservation, modern design",stainless steel refrigerator with French doors
Large Appliances,Front Load Washing Machine,High-efficiency washer with steam cleaning and 15 wash cycles.,$899.99,"washer, laundry, energy-efficient, steam","Laundry care, household cleaning, fabric maintenance","Water efficiency, gentle on fabrics, quiet operation, multiple settings",white front-loading washing machine
Large Appliances,Gas Range with Convection Oven,Professional-grade 5-burner gas range with convection baking technology.,"$1,299.99","stove, oven, cooking, gas-range","Home cooking, baking, meal preparation","Even cooking, precise temperature control, large capacity, durable",stainless steel gas range with five burners
Large Appliances,Built-in Dishwasher,Quiet operation dishwasher with third rack and adjustable tines.,$749.99,"dishwasher, kitchen, cleaning, quiet","Dish cleaning, kitchen maintenance, daily use","Time-saving, water efficient, quiet performance, flexible loading",stainless steel dishwasher with open door
Large Appliances,Upright Freezer 21 cu ft,Frost-free upright freezer with adjustable shelves and door alarm.,$799.99,"freezer, storage, frost-free, kitchen","Food preservation, bulk storage, long-term freezing","Spacious storage, frost-free convenience, organized shelving, energy efficient",white upright freezer with glass shelves
